model,domain,mean,ci95,n,success_rate,gen_fail_rate,reliability,coverage,alpha3_rel,pillars,mean_gen_time_s,mean_total_tokens,alpha3_per_second,alpha3_per_1k_tokens,total_attempt_calls,mean_attempts_used,call_efficiency
google/gemini-3-pro-preview,uav,0.9518008297455028,0.007888934184339296,26.0,1.0,0.48,0.52,0.52,0.17389658402917835,"{'TO': 1.0, 'SP': 0.9519230769230769, 'TC': 1.0, 'IQ': 0.9871794871794872, 'NR': 0.7849425574425575, 'CC': 0.6969007107941734}",119.83936383174016,7526.192307692308,0.0014510806672283153,0.023105519619986803,74.0,1.48,0.6756756756756757
google/gemini-2.5-flash-preview-09-2025,uav,0.963193280860966,0.014569871090452132,44.0,0.9772727272727273,0.12,0.88,0.88,0.4604301708016864,"{'TO': 0.9772727272727273, 'SP': 0.9829545454545454, 'TC': 1.0, 'IQ': 1.0, 'NR': 0.8901048307752852, 'CC': 0.6882014102142049}",27.0896808125756,5758.545454545455,0.01699651516705745,0.07995598444712285,81.0,1.62,0.6172839506172839
openai/gpt-4.1-mini,uav,0.9747624356580368,0.0033107324406134635,50.0,1.0,0.0,1.0,1.0,0.7615331528578412,"{'TO': 1.0, 'SP': 0.99, 'TC': 1.0, 'IQ': 0.9952525252525253, 'NR': 0.8945996332371332, 'CC': 0.7602918709288936}",78.3004271364212,4754.1,0.009725785422996963,0.1601845045030271,64.0,1.28,0.78125
openai/chatgpt-4o-latest,uav,0.9764467648859523,0.003622025216531289,50.0,1.0,0.0,1.0,1.0,0.9764467648859523,"{'TO': 1.0, 'SP': 0.99, 'TC': 1.0, 'IQ': 0.9949494949494949, 'NR': 0.8552207792207792, 'CC': 0.8736452544290024}",10.58061728000641,4032.1,0.09228637035488356,0.24216829068871118,50.0,1.0,1.0
openai/gpt-5.1-chat,uav,0.9905214584872817,0.003038679726220804,50.0,1.0,0.0,1.0,1.0,0.8254345487394015,"{'TO': 1.0, 'SP': 0.995, 'TC': 1.0, 'IQ': 1.0, 'NR': 0.9174507936507936, 'CC': 0.9955275824440449}",18.993600416183472,2854.08,0.04345856133922303,0.28921212745942704,60.0,1.2,0.8333333333333334
anthropic/claude-opus-4.5,uav,0.9541783760547151,0.004614735407403109,49.0,1.0,0.02,0.98,0.98,0.8182079574669182,"{'TO': 1.0, 'SP': 0.9795918367346939, 'TC': 1.0, 'IQ': 0.9444444444444445, 'NR': 0.8964376272758783, 'CC': 0.5389915862704383}",57.04199779276945,5436.34693877551,0.0143439568936457,0.1505069427469639,56.0,1.12,0.8928571428571429
anthropic/claude-haiku-4.5,uav,0.9310256718233989,0.007314427712465732,50.0,1.0,0.0,1.0,1.0,0.8312729212708919,"{'TO': 1.0, 'SP': 0.88, 'TC': 1.0, 'IQ': 0.9444444444444445, 'NR': 0.8971252063725748, 'CC': 0.47292969038949634}",42.79026568889618,7826.72,0.01942668286555188,0.10620961542905481,56.0,1.12,0.8928571428571429
deepseek/deepseek-v3.2-exp,uav,0.9652865897610953,0.007901330412025617,40.0,1.0,0.2,0.8,0.8,0.4290162621160424,"{'TO': 1.0, 'SP': 0.93125, 'TC': 1.0, 'IQ': 0.9986111111111111, 'NR': 0.9148422619047618, 'CC': 0.755213938079049}",147.42393513321878,5010.35,0.0029100855415938012,0.08562600658956805,72.0,1.44,0.6944444444444444
qwen/qwen3-235b-a22b-2507,uav,0.9513844242418862,0.012794533963632148,50.0,0.98,0.0,1.0,1.0,0.8809115039276724,"{'TO': 0.98, 'SP': 0.95, 'TC': 1.0, 'IQ': 0.981919191919192, 'NR': 0.8801155104155104, 'CC': 0.6416998882491267}",105.14760801315308,5652.16,0.008377855859711786,0.1558539574123295,54.0,1.08,0.9259259259259259
mistralai/mistral-medium-3.1,uav,0.9532880931381954,0.014296199864718459,49.0,0.9795918367346939,0.02,0.98,0.98,0.7152639723827523,"{'TO': 0.9795918367346939, 'SP': 0.9642857142857143, 'TC': 1.0, 'IQ': 0.9958771387342816, 'NR': 0.9371546979495422, 'CC': 0.4691271731109585}",115.7828283845162,7369.693877551021,0.006177634303485417,0.0970547738165262,64.0,1.28,0.78125
qwen/qwen3-max,uav,0.9763245077982602,0.0024004994766962133,50.0,1.0,0.0,1.0,1.0,0.921060856413453,"{'TO': 1.0, 'SP': 1, 'TC': 1.0, 'IQ': 1.0, 'NR': 0.9175684981684982, 'CC': 0.6913531596282092}",89.62283880233764,5328.74,0.010277077458401474,0.17284777572436505,53.0,1.06,0.9433962264150944
moonshotai/kimi-k2-thinking,uav,0.9584500841799317,0.003641343928076029,44.0,1.0,0.12,0.88,0.88,0.5015025305330669,"{'TO': 1.0, 'SP': 0.9886363636363636, 'TC': 1.0, 'IQ': 0.9631542699724518, 'NR': 0.8519432966023874, 'CC': 0.6211068259310518}",314.0267794565721,7630.522727272727,0.0015970056165302983,0.06572322086671932,74.0,1.48,0.6756756756756757
google/gemini-3-pro-preview,macro,0.17389658402917835,,,,,,,,,,,,,,,
google/gemini-2.5-flash-preview-09-2025,macro,0.4604301708016864,,,,,,,,,,,,,,,
openai/gpt-4.1-mini,macro,0.7615331528578412,,,,,,,,,,,,,,,
openai/chatgpt-4o-latest,macro,0.9764467648859523,,,,,,,,,,,,,,,
openai/gpt-5.1-chat,macro,0.8254345487394015,,,,,,,,,,,,,,,
anthropic/claude-opus-4.5,macro,0.8182079574669182,,,,,,,,,,,,,,,
anthropic/claude-haiku-4.5,macro,0.8312729212708919,,,,,,,,,,,,,,,
deepseek/deepseek-v3.2-exp,macro,0.4290162621160424,,,,,,,,,,,,,,,
qwen/qwen3-235b-a22b-2507,macro,0.8809115039276724,,,,,,,,,,,,,,,
mistralai/mistral-medium-3.1,macro,0.7152639723827523,,,,,,,,,,,,,,,
qwen/qwen3-max,macro,0.921060856413453,,,,,,,,,,,,,,,
moonshotai/kimi-k2-thinking,macro,0.5015025305330669,,,,,,,,,,,,,,,
